User_ID,Page_Viewed,Time_Spent_Seconds
User_3198,Homepage,560
User_126,Category Page,168
User_1376,Category Page,122
User_1117,Cart Page,329
User_3683,Category Page,391
User_3384,Homepage,44
User_4461,Cart Page,146
User_435,Cart Page,335
User_2110,Checkout Page,570
User_149,Homepage,481
User_1094,Homepage,401
User_2527,Cart Page,565
User_133,Homepage,573
User_995,Checkout Page,311
User_3250,Cart Page,111
User_2725,Checkout Page,506
User_1103,Category Page,48
User_2947,Product Page,458
User_4048,Category Page,536
User_33,Cart Page,251
User_4030,Homepage,574
User_3491,Product Page,180
User_1702,Product Page,313
User_778,Cart Page,189
User_4787,Product Page,196
User_1683,Category Page,394
User_464,Product Page,183
User_484,Homepage,586
User_4238,Cart Page,472
User_3019,Product Page,290
User_4036,Cart Page,159
User_3649,Cart Page,192
User_2682,Homepage,69
User_4866,Homepage,103
User_1893,Product Page,109
User_2761,Product Page,85
User_4148,Cart Page,302
User_3093,Checkout Page,528
User_4309,Cart Page,384
User_2887,Cart Page,250
User_3523,Category Page,285
User_230,Cart Page,369
User_1140,Checkout Page,389
User_1447,Category Page,33
User_399,Product Page,71
User_1164,Cart Page,28
User_506,Category Page,93
User_1390,Cart Page,599
User_3179,Checkout Page,571
User_1825,Product Page,493
User_1851,Cart Page,205
User_1048,Product Page,107
User_1335,Category Page,342
User_4684,Product Page,46
User_3241,Cart Page,549
User_3046,Cart Page,107
User_856,Checkout Page,132
User_3646,Product Page,222
User_818,Checkout Page,277
User_1898,Product Page,548
User_4948,Homepage,502
User_3200,Checkout Page,10
User_2785,Cart Page,183
User_3424,Checkout Page,384
User_4215,Category Page,329
User_3880,Product Page,464
User_1146,Category Page,407
User_161,Checkout Page,129
User_1578,Cart Page,502
User_1339,Cart Page,560
User_1055,Product Page,254
User_4715,Homepage,482
User_4382,Category Page,167
User_1574,Category Page,529
User_3278,Product Page,521
User_1979,Category Page,351
User_4573,Checkout Page,307
User_2295,Product Page,66
User_1325,Product Page,337
User_1234,Homepage,317
User_2807,Cart Page,247
User_1314,Cart Page,516
User_2923,Checkout Page,568
User_4490,Category Page,560
User_1998,Homepage,314
User_1097,Category Page,349
User_4988,Category Page,441
User_2548,Homepage,69
User_455,Checkout Page,328
User_236,Cart Page,42
User_549,Category Page,278
User_3138,Cart Page,205
User_3961,Homepage,285
User_2111,Checkout Page,28
User_318,Checkout Page,589
User_1909,Checkout Page,434
User_4981,Cart Page,510
User_2646,Homepage,357
User_4856,Cart Page,356
User_4304,Category Page,393
User_58,Cart Page,576
User_3604,Category Page,103
User_3409,Homepage,18
User_2685,Checkout Page,407
User_1335,Cart Page,159
User_3205,Category Page,247
User_558,Homepage,344
User_2174,Category Page,427
User_2269,Homepage,364
User_4770,Category Page,248
User_4380,Cart Page,278
User_1317,Product Page,447
User_2503,Category Page,424
User_894,Product Page,550
User_4564,Checkout Page,46
User_4353,Product Page,333
User_1493,Homepage,289
User_3195,Product Page,528
User_3045,Product Page,211
User_765,Category Page,512
User_3813,Homepage,527
User_2697,Homepage,488
User_3894,Product Page,127
User_2652,Homepage,152
User_3,Cart Page,371
User_1621,Category Page,353
User_98,Product Page,328
User_4646,Product Page,230
User_4394,Product Page,509
User_4159,Homepage,515
User_1538,Cart Page,510
User_290,Product Page,283
User_4391,Product Page,543
User_4735,Homepage,365
User_429,Cart Page,499
User_2430,Product Page,315
User_347,Category Page,549
User_3804,Homepage,259
User_3830,Category Page,387
User_642,Cart Page,454
User_2377,Homepage,233
User_2750,Homepage,491
User_1326,Category Page,486
User_4363,Homepage,27
User_2116,Category Page,29
User_1059,Category Page,577
User_2697,Checkout Page,329
User_3650,Cart Page,146
User_1006,Cart Page,139
User_1559,Product Page,262
User_4976,Checkout Page,20
User_3250,Cart Page,278
User_2191,Cart Page,418
User_2588,Category Page,127
User_606,Checkout Page,213
User_1124,Cart Page,571
User_1691,Category Page,316
User_2942,Homepage,454
User_1151,Checkout Page,492
User_1102,Checkout Page,559
User_355,Category Page,123
User_3156,Category Page,226
User_1145,Cart Page,190
User_4528,Cart Page,12
User_4299,Category Page,309
User_355,Product Page,375
User_1191,Product Page,579
User_3345,Checkout Page,252
User_1072,Cart Page,145
User_662,Checkout Page,363
User_4678,Product Page,539
User_2856,Cart Page,595
User_2364,Cart Page,506
User_3924,Cart Page,232
User_4038,Checkout Page,238
User_953,Category Page,178
User_485,Homepage,315
User_2156,Category Page,214
User_2118,Product Page,253
User_2336,Category Page,320
User_3646,Homepage,448
User_3367,Cart Page,580
User_4921,Cart Page,536
User_493,Homepage,72
User_2014,Homepage,253
User_1697,Checkout Page,278
User_4309,Cart Page,14
User_1244,Product Page,283
User_952,Cart Page,581
User_2244,Cart Page,290
User_2110,Category Page,534
User_1393,Category Page,460
User_1250,Category Page,559
User_4617,Cart Page,479
User_2216,Category Page,407
User_4307,Checkout Page,470
User_2752,Product Page,322
User_253,Product Page,509
User_4997,Checkout Page,243
User_4181,Category Page,101
User_4845,Cart Page,585
User_4632,Category Page,116
User_4244,Cart Page,305
User_832,Category Page,472
User_2429,Product Page,526
User_1069,Cart Page,52
User_2006,Homepage,192
User_294,Checkout Page,330
User_1895,Category Page,538
User_4927,Category Page,587
User_1327,Category Page,458
User_3921,Category Page,567
User_2276,Category Page,85
User_2116,Checkout Page,95
User_4787,Homepage,555
User_4978,Checkout Page,191
User_2779,Homepage,425
User_3593,Homepage,10
User_774,Checkout Page,146
User_1484,Cart Page,459
User_4844,Product Page,283
User_2896,Category Page,185
User_2711,Cart Page,161
User_3740,Homepage,374
User_286,Checkout Page,561
User_2921,Checkout Page,187
User_2515,Checkout Page,16
User_4264,Cart Page,106
User_788,Homepage,218
User_4804,Homepage,330
User_401,Homepage,214
User_930,Category Page,44
User_2976,Product Page,491
User_3377,Category Page,265
User_1177,Homepage,76
User_600,Cart Page,498
User_4452,Product Page,257
User_1232,Category Page,102
User_2973,Checkout Page,147
User_3097,Product Page,96
User_2097,Checkout Page,316
User_2919,Category Page,169
User_2614,Checkout Page,310
User_4674,Product Page,22
User_1022,Homepage,307
User_3581,Homepage,534
User_1194,Checkout Page,183
User_1979,Category Page,18
User_3359,Homepage,516
User_1500,Product Page,516
User_1581,Product Page,99
User_3760,Category Page,552
User_363,Homepage,525
User_2292,Cart Page,178
User_4993,Checkout Page,230
User_4981,Product Page,408
User_367,Checkout Page,432
User_1066,Checkout Page,393
User_1327,Product Page,463
User_4667,Cart Page,32
User_4405,Product Page,592
User_4397,Product Page,114
User_1848,Product Page,496
User_789,Product Page,463
User_4169,Category Page,354
User_3518,Cart Page,373
User_3059,Category Page,225
User_4937,Homepage,420
User_3270,Product Page,139
User_40,Checkout Page,304
User_4086,Checkout Page,549
User_1497,Homepage,28
User_3317,Checkout Page,190
User_4695,Cart Page,209
User_672,Homepage,433
User_578,Homepage,401
User_536,Homepage,422
User_2767,Cart Page,459
User_1362,Category Page,323
User_3025,Category Page,123
User_3589,Checkout Page,507
User_1018,Homepage,341
User_3172,Cart Page,350
User_1320,Category Page,277
User_2443,Category Page,534
User_4527,Cart Page,496
User_4231,Cart Page,531
User_462,Category Page,387
User_2118,Homepage,431
User_1384,Category Page,487
User_18,Category Page,448
User_3856,Category Page,215
User_3186,Product Page,277
User_1310,Homepage,521
User_3707,Cart Page,368
User_2759,Category Page,383
User_2139,Checkout Page,332
User_49,Product Page,418
User_377,Category Page,211
User_4416,Category Page,595
